Region,ConstructionType,Year,Measure
South Atlantic,New Construction,2020,132705817
South Atlantic,New Construction,2019,134000178
South Atlantic,New Construction,2018,125667653
South Atlantic,New Construction,2017,119512459
South Atlantic,New Construction,2016,108482791
South Atlantic,New Construction,2015,93095938
South Atlantic,Major Addition,2024,573418
South Atlantic,Major Addition,2023,2872301
South Atlantic,Major Addition,2022,2472780
South Atlantic,Major Addition,2021,1850233
South Atlantic,Major Addition,2020,1121418
South Atlantic,Major Addition,2019,2033116
South Atlantic,Major Addition,2018,1959354
South Atlantic,Major Addition,2017,1971066
South Atlantic,Major Addition,2016,1911589
South Atlantic,Major Addition,2015,1690726
South Atlantic,Add and Alteration,2024,961214
South Atlantic,Add and Alteration,2023,6005948
South Atlantic,Add and Alteration,2022,5827463
South Atlantic,Add and Alteration,2021,3832288
South Atlantic,Add and Alteration,2020,4001692
South Atlantic,Add and Alteration,2019,4521947
South Atlantic,Add and Alteration,2018,5224052
South Atlantic,Add and Alteration,2017,4446264
South Atlantic,Add and Alteration,2016,5095605
South Atlantic,Add and Alteration,2015,3376948
South Atlantic,Major Alteration,2024,5439835
South Atlantic,Major Alteration,2023,19863416
South Atlantic,Major Alteration,2022,18556342
South Atlantic,Major Alteration,2021,14164646
South Atlantic,Major Alteration,2020,13395559
South Atlantic,Major Alteration,2019,14634575
South Atlantic,Major Alteration,2018,12705278
South Atlantic,Major Alteration,2017,12265723
South Atlantic,Major Alteration,2016,11399334
South Atlantic,Major Alteration,2015,9888860
West North Central,New Construction,2024,7345867
West North Central,New Construction,2023,37274991
West North Central,New Construction,2022,37215550
West North Central,New Construction,2021,38480958
West North Central,New Construction,2020,30537696
West North Central,New Construction,2019,32483151
West North Central,New Construction,2018,30386066
West North Central,New Construction,2017,30020249
West North Central,New Construction,2016,26979820
West North Central,New Construction,2015,26988035
West North Central,Major Addition,2024,499904
West North Central,Major Addition,2023,2006391
West North Central,Major Addition,2022,1220074
West North Central,Major Addition,2021,657762
West North Central,Major Addition,2020,928848
West North Central,Major Addition,2019,845591
West North Central,Major Addition,2018,1207662
West North Central,Major Addition,2017,1209242
West North Central,Major Addition,2016,849978
West North Central,Major Addition,2015,1594497
West North Central,Add and Alteration,2024,861212
West North Central,Add and Alteration,2023,2881721
West North Central,Add and Alteration,2022,2902104
West North Central,Add and Alteration,2021,2664112
West North Central,Add and Alteration,2020,2690562
West North Central,Add and Alteration,2019,2773433
West North Central,Add and Alteration,2018,2679693
West North Central,Add and Alteration,2017,2331098
West North Central,Add and Alteration,2016,2458107
West North Central,Add and Alteration,2015,2471945
West North Central,Major Alteration,2024,1338030
West North Central,Major Alteration,2023,6101891
West North Central,Major Alteration,2022,5666853
West North Central,Major Alteration,2021,4955883
West North Central,Major Alteration,2020,4102690
West North Central,Major Alteration,2019,4636844
West North Central,Major Alteration,2018,5408750
West North Central,Major Alteration,2017,4413784
West North Central,Major Alteration,2016,4936787
West North Central,Major Alteration,2015,4146145
West South Central,New Construction,2024,26064453
West South Central,New Construction,2023,95607878
West South Central,New Construction,2022,132424221
West South Central,New Construction,2021,97652860
West South Central,New Construction,2020,81715831
West South Central,New Construction,2019,86436767
West South Central,New Construction,2018,75578279
West South Central,New Construction,2017,71205993
West South Central,New Construction,2016,69398807
West South Central,New Construction,2015,75591435
West South Central,Major Addition,2024,651563
West South Central,Major Addition,2023,3143823
West South Central,Major Addition,2022,1711375
West South Central,Major Addition,2021,2280633
West South Central,Major Addition,2020,2403845
West South Central,Major Addition,2019,5254644
West South Central,Major Addition,2018,1440362
West South Central,Major Addition,2017,3357430
West South Central,Major Addition,2016,1310202
West South Central,Major Addition,2015,1102659
West South Central,Add and Alteration,2024,3576230
West South Central,Add and Alteration,2023,3394312
West South Central,Add and Alteration,2022,4105577
West South Central,Add and Alteration,2021,3432742
West South Central,Add and Alteration,2020,3847489
West South Central,Add and Alteration,2019,3921040
West South Central,Add and Alteration,2018,5141608
West South Central,Add and Alteration,2017,3796749
West South Central,Add and Alteration,2016,3215137
West South Central,Add and Alteration,2015,3362638
West South Central,Major Alteration,2024,5266348
West South Central,Major Alteration,2023,17473123
West South Central,Major Alteration,2022,15485479
West South Central,Major Alteration,2021,10091766
West South Central,Major Alteration,2020,10122619
West South Central,Major Alteration,2019,11310589
West South Central,Major Alteration,2018,9146099
West South Central,Major Alteration,2017,9526284
West South Central,Major Alteration,2016,10308106
West South Central,Major Alteration,2015,7712767
