Industry,Work Type,Switch Time,Measure
Laboratories (excl. manufacturer owned),County,2021,279576
Laboratories (excl. manufacturer owned),County,2020,177381
Laboratories (excl. manufacturer owned),County,2019,761940
Laboratories (excl. manufacturer owned),County,2018,414819
Laboratories (excl. manufacturer owned),County,2017,156511
Laboratories (excl. manufacturer owned),County,2016,538165
Laboratories (excl. manufacturer owned),County,2015,105431
Laboratories (excl. manufacturer owned),State,2024,787178
Laboratories (excl. manufacturer owned),State,2023,1845927
Laboratories (excl. manufacturer owned),State,2022,642946
Laboratories (excl. manufacturer owned),State,2021,756583
Laboratories (excl. manufacturer owned),State,2020,935683
Laboratories (excl. manufacturer owned),State,2019,825453
Laboratories (excl. manufacturer owned),State,2018,2095824
Laboratories (excl. manufacturer owned),State,2017,847603
Laboratories (excl. manufacturer owned),State,2016,1530066
Laboratories (excl. manufacturer owned),State,2015,979830
Laboratories (excl. manufacturer owned),Federal,2024,235946
Laboratories (excl. manufacturer owned),Federal,2023,498471
Laboratories (excl. manufacturer owned),Federal,2022,526796
Laboratories (excl. manufacturer owned),Federal,2021,869517
Laboratories (excl. manufacturer owned),Federal,2020,489655
Laboratories (excl. manufacturer owned),Federal,2019,252711
Laboratories (excl. manufacturer owned),Federal,2018,377090
Laboratories (excl. manufacturer owned),Federal,2017,557149
Laboratories (excl. manufacturer owned),Federal,2016,389151
Laboratories (excl. manufacturer owned),Federal,2015,1285129
Libraries and Museums,Private,2024,304418
Libraries and Museums,Private,2023,1056220
Libraries and Museums,Private,2022,944824
Libraries and Museums,Private,2021,2139713
Libraries and Museums,Private,2020,1373906
Libraries and Museums,Private,2019,764651
Libraries and Museums,Private,2018,1415963
Libraries and Museums,Private,2017,1657573
Libraries and Museums,Private,2016,1739839
Libraries and Museums,Private,2015,1479998
Libraries and Museums,County,2024,633854
Libraries and Museums,County,2023,1946536
Libraries and Museums,County,2022,1567090
Libraries and Museums,County,2021,1422052
Libraries and Museums,County,2020,1403391
Libraries and Museums,County,2019,1391178
Libraries and Museums,County,2018,1218380
Libraries and Museums,County,2017,1466952
Libraries and Museums,County,2016,1098535
Libraries and Museums,County,2015,1069863
Libraries and Museums,State,2024,49330
Libraries and Museums,State,2023,363236
Libraries and Museums,State,2022,464214
Libraries and Museums,State,2021,297001
Libraries and Museums,State,2020,366510
Libraries and Museums,State,2019,500672
Libraries and Museums,State,2018,394505
Libraries and Museums,State,2017,377496
Libraries and Museums,State,2016,308292
Libraries and Museums,State,2015,261537
Libraries and Museums,Federal,2024,534
Libraries and Museums,Federal,2023,280763
Libraries and Museums,Federal,2022,193409
Libraries and Museums,Federal,2021,20543
Libraries and Museums,Federal,2020,85374
Libraries and Museums,Federal,2019,62638
Libraries and Museums,Federal,2018,747551
Libraries and Museums,Federal,2017,166199
Libraries and Museums,Federal,2016,64727
Libraries and Museums,Federal,2015,118765
Hospitals and Other Health Treatment,Private,2024,6419361
Hospitals and Other Health Treatment,Private,2023,31156856
Hospitals and Other Health Treatment,Private,2022,30133683
Hospitals and Other Health Treatment,Private,2021,21768777
Hospitals and Other Health Treatment,Private,2020,22128879
Hospitals and Other Health Treatment,Private,2019,21541167
Hospitals and Other Health Treatment,Private,2018,23355350
Hospitals and Other Health Treatment,Private,2017,24198891
Hospitals and Other Health Treatment,Private,2016,23000633
Hospitals and Other Health Treatment,Private,2015,19730347
Hospitals and Other Health Treatment,County,2024,1251171
Hospitals and Other Health Treatment,County,2023,2895958
Hospitals and Other Health Treatment,County,2022,2528626
Hospitals and Other Health Treatment,County,2021,2392446
Hospitals and Other Health Treatment,County,2020,2000334
Hospitals and Other Health Treatment,County,2019,2090180
Hospitals and Other Health Treatment,County,2018,1778065
Hospitals and Other Health Treatment,County,2017,1649952
Hospitals and Other Health Treatment,County,2016,754648
Hospitals and Other Health Treatment,County,2015,1567520
Hospitals and Other Health Treatment,State,2024,158313
Hospitals and Other Health Treatment,State,2023,2901886
Hospitals and Other Health Treatment,State,2022,3277289
Hospitals and Other Health Treatment,State,2021,4376957
Hospitals and Other Health Treatment,State,2020,3122862
Hospitals and Other Health Treatment,State,2019,3132029
Hospitals and Other Health Treatment,State,2018,1116733
Hospitals and Other Health Treatment,State,2017,1917822
Hospitals and Other Health Treatment,State,2016,2100545
Hospitals and Other Health Treatment,State,2015,1260198
Hospitals and Other Health Treatment,Federal,2024,146368
Hospitals and Other Health Treatment,Federal,2023,1789990
Hospitals and Other Health Treatment,Federal,2022,1333150
Hospitals and Other Health Treatment,Federal,2021,1978793
Hospitals and Other Health Treatment,Federal,2020,1399805
Hospitals and Other Health Treatment,Federal,2019,1831421
Hospitals and Other Health Treatment,Federal,2018,1437914
Hospitals and Other Health Treatment,Federal,2017,760913
Hospitals and Other Health Treatment,Federal,2016,915573
Hospitals and Other Health Treatment,Federal,2015,913646
Capitols/Court Houses/City Halls,Private,2024,35804
Capitols/Court Houses/City Halls,Private,2023,37030
Capitols/Court Houses/City Halls,Private,2022,73180
Capitols/Court Houses/City Halls,Private,2021,87833
Capitols/Court Houses/City Halls,Private,2020,10598
Capitols/Court Houses/City Halls,Private,2019,39745
Capitols/Court Houses/City Halls,Private,2018,49403
Capitols/Court Houses/City Halls,Private,2017,39058
Capitols/Court Houses/City Halls,Private,2016,295863
Capitols/Court Houses/City Halls,Private,2015,71102
Capitols/Court Houses/City Halls,County,2024,681264
Capitols/Court Houses/City Halls,County,2023,2813135
Capitols/Court Houses/City Halls,County,2022,2547250
Capitols/Court Houses/City Halls,County,2021,2762550
Capitols/Court Houses/City Halls,County,2020,2759164
Capitols/Court Houses/City Halls,County,2019,2178832
Capitols/Court Houses/City Halls,County,2018,1860285
Capitols/Court Houses/City Halls,County,2017,1954578
Capitols/Court Houses/City Halls,County,2016,1577052
Capitols/Court Houses/City Halls,County,2015,1834390
Capitols/Court Houses/City Halls,State,2024,7252
Capitols/Court Houses/City Halls,State,2023,743395
Capitols/Court Houses/City Halls,State,2022,1011052
Capitols/Court Houses/City Halls,State,2021,692810
Capitols/Court Houses/City Halls,State,2020,448969
Capitols/Court Houses/City Halls,State,2019,439542
Capitols/Court Houses/City Halls,State,2018,340888
Capitols/Court Houses/City Halls,State,2017,240720
Capitols/Court Houses/City Halls,State,2016,473096
Capitols/Court Houses/City Halls,State,2015,167957
Capitols/Court Houses/City Halls,Federal,2024,106072
Capitols/Court Houses/City Halls,Federal,2023,32033
Capitols/Court Houses/City Halls,Federal,2022,271882
Capitols/Court Houses/City Halls,Federal,2021,229359
Capitols/Court Houses/City Halls,Federal,2020,163530
Capitols/Court Houses/City Halls,Federal,2019,561663
Capitols/Court Houses/City Halls,Federal,2018,284871
Capitols/Court Houses/City Halls,Federal,2017,37094
Capitols/Court Houses/City Halls,Federal,2016,300920
Capitols/Court Houses/City Halls,Federal,2015,50011
Other Government Service Buildings,Private,2024,37499
Other Government Service Buildings,Private,2023,222220
Other Government Service Buildings,Private,2022,215682
Other Government Service Buildings,Private,2021,164804
Other Government Service Buildings,Private,2020,225750
Other Government Service Buildings,Private,2019,147598
Other Government Service Buildings,Private,2018,395499
Other Government Service Buildings,Private,2017,293744
Other Government Service Buildings,Private,2016,107764
Other Government Service Buildings,Private,2015,157529
Other Government Service Buildings,County,2024,1529888
Other Government Service Buildings,County,2023,7507736
Other Government Service Buildings,County,2022,5298383
Other Government Service Buildings,County,2021,4391927
Other Government Service Buildings,County,2020,4800309
Other Government Service Buildings,County,2019,4481711
Other Government Service Buildings,County,2018,4643352
Other Government Service Buildings,County,2017,4224651
Other Government Service Buildings,County,2016,2848430
Other Government Service Buildings,County,2015,2836922
Other Government Service Buildings,State,2024,230666
Other Government Service Buildings,State,2023,2896383
Other Government Service Buildings,State,2022,941252
Other Government Service Buildings,State,2021,509807
Other Government Service Buildings,State,2020,709906
Other Government Service Buildings,State,2019,1081199
Other Government Service Buildings,State,2018,700420
Other Government Service Buildings,State,2017,568829
Other Government Service Buildings,State,2016,653319
Other Government Service Buildings,State,2015,607001
Other Government Service Buildings,Federal,2024,1360476
Other Government Service Buildings,Federal,2023,2966110
Other Government Service Buildings,Federal,2022,2636428
Other Government Service Buildings,Federal,2021,2859965
Other Government Service Buildings,Federal,2020,3416243
Other Government Service Buildings,Federal,2019,2328853
Other Government Service Buildings,Federal,2018,1978765
Other Government Service Buildings,Federal,2017,2344028
Other Government Service Buildings,Federal,2016,2779747
Other Government Service Buildings,Federal,2015,2411238
Houses of Worship,Private,2024,366662
Houses of Worship,Private,2023,1906807
Houses of Worship,Private,2022,1532227
Houses of Worship,Private,2021,1408325
Houses of Worship,Private,2020,1661237
Houses of Worship,Private,2019,1933229
Houses of Worship,Private,2018,1732308
Houses of Worship,Private,2017,2059700
Houses of Worship,Private,2016,1658056
Houses of Worship,Private,2015,2029786
Houses of Worship,County,2024,2002
Houses of Worship,County,2023,7463
Houses of Worship,County,2022,7761
Houses of Worship,County,2021,3474
Houses of Worship,County,2020,4924
Houses of Worship,County,2019,5302
