State,Year,Measure
Kansas,2018,5372990
Kansas,2017,4612528
Kansas,2016,4990548
Kansas,2015,5541058
Iowa,2024,1237415
Iowa,2023,8402596
Iowa,2022,6877482
Iowa,2021,8136343
Iowa,2020,5541816
Iowa,2019,6738525
Iowa,2018,5532706
Iowa,2017,6405225
Iowa,2016,5510874
Iowa,2015,6391047
Indiana,2024,3797782
Indiana,2023,18827677
Indiana,2022,17509975
Indiana,2021,14570977
Indiana,2020,11364957
Indiana,2019,11248320
Indiana,2018,10360796
Indiana,2017,9265524
Indiana,2016,8537519
Indiana,2015,7325836
Illinois,2024,3357131
Illinois,2023,17919628
Illinois,2022,15861714
Illinois,2021,13357901
Illinois,2020,13140100
Illinois,2019,14928291
Illinois,2018,14194152
Illinois,2017,14328733
Illinois,2016,15888271
Illinois,2015,13944278
Idaho,2024,1362666
Idaho,2023,12349925
Idaho,2022,6422178
Idaho,2021,5593425
Idaho,2020,4452478
Idaho,2019,4573068
Idaho,2018,4696222
Idaho,2017,3876132
Idaho,2016,3189681
Idaho,2015,3072174
Hawaii,2024,1094365
Hawaii,2023,3756794
Hawaii,2022,3251788
Hawaii,2021,2717559
Hawaii,2020,2703156
Hawaii,2019,3860878
Hawaii,2018,3365187
Hawaii,2017,3213654
Hawaii,2016,3790927
Hawaii,2015,3660436
Georgia,2024,6160230
Georgia,2023,43445634
Georgia,2022,30690108
Georgia,2021,24780584
Georgia,2020,21218981
Georgia,2019,23693153
Georgia,2018,21630855
Georgia,2017,21984461
Georgia,2016,18530689
Georgia,2015,15214967
Florida,2024,20990313
Florida,2023,81211031
Florida,2022,80484357
Florida,2021,75897844
Florida,2020,59453899
Florida,2019,58344837
Florida,2018,51695010
Florida,2017,49253195
Florida,2016,45665666
Florida,2015,41065137
District of Columbia,2024,497921
District of Columbia,2023,3780999
District of Columbia,2022,3837232
District of Columbia,2021,3484241
District of Columbia,2020,3691409
District of Columbia,2019,4672355
District of Columbia,2018,3779936
District of Columbia,2017,3984178
District of Columbia,2016,4561779
District of Columbia,2015,3182665
Delaware,2024,356168
Delaware,2023,1955428
Delaware,2022,2968384
Delaware,2021,2610364
Delaware,2020,2615251
Delaware,2019,1789329
Delaware,2018,1828342
Delaware,2017,1963934
Delaware,2016,1443742
Delaware,2015,936348
Connecticut,2024,1191462
Connecticut,2023,5390698
Connecticut,2022,5871756
Connecticut,2021,3841371
Connecticut,2020,4397024
Connecticut,2019,4156265
Connecticut,2018,4233668
Connecticut,2017,4751030
Connecticut,2016,2791998
Connecticut,2015,4415959
Colorado,2024,3690430
Colorado,2023,17066277
Colorado,2022,19644297
Colorado,2021,20715329
Colorado,2020,17791484
Colorado,2019,16012497
Colorado,2018,19904554
Colorado,2017,16512481
Colorado,2016,16148808
Colorado,2015,13649761
California,2024,18480515
California,2023,63149832
California,2022,67557951
California,2021,67227673
California,2020,54034423
California,2019,57059818
California,2018,59403781
California,2017,60690051
California,2016,56538330
California,2015,42771706
Arkansas,2024,1622036
Arkansas,2023,6066611
Arkansas,2022,7323637
Arkansas,2021,5192159
Arkansas,2020,4580665
Arkansas,2019,4978597
Arkansas,2018,4093738
Arkansas,2017,3494517
Arkansas,2016,3569904
Arkansas,2015,2949801
Arizona,2024,6073438
Arizona,2023,24288710
Arizona,2022,47067641
Arizona,2021,32003784
Arizona,2020,21632996
Arizona,2019,17115835
Arizona,2018,14393351
Arizona,2017,12960813
Arizona,2016,12502945
Arizona,2015,10679026
Alaska,2024,163060
Alaska,2023,1528943
Alaska,2022,776219
Alaska,2021,1097538
Alaska,2020,874150
Alaska,2019,905087
Alaska,2018,1071441
Alaska,2017,1007536
Alaska,2016,777369
Alaska,2015,956523
Alabama,2024,2520945
Alabama,2023,10602672
Alabama,2022,12257481
Alabama,2021,9178524
Alabama,2020,8441325
Alabama,2019,9762483
Alabama,2018,7964279
Alabama,2017,5989382
Alabama,2016,5836779
Alabama,2015,5474720
